Localidad;Departamento;Provincia;Latitud;Longitud;Estado
El Sosneado;San Rafael;Mendoza;-35,08217722;-69,59241279;Conectado
El Talar;Santa Bárbara;Jujuy;-23,55587866;-64,36146391;Conectado
El Tunal;Metán;Salta;-25,26526458;-64,40610422;Conectado
El Vergel;Lavalle;Mendoza;-32,784309;-68,613076;Conectado
Embarcacion;Gral.J. de San Martín;Salta;-23,20421353;-64,09008179;Conectado
Emilio Ayarza;Chivilcoy;Buenos Aires;-34,74606011;-60,03923142;Conectado
Emilio V. Bunge;General Villegas;Buenos Aires;-34,77983283;-63,19609649;Conectado
Empalme Villa Constitucion;Constitución;Santa Fe;-33,26286255;-60,38046446;Conectado
Empedrado;Empedrado;Corrientes;-27,95245569;-58,80747639;Conectado
Enrique Carbo;Gualeguaychú;Entre Rios;-33,14784836;-59,20894011;Conectado
Epuyen;Cushamen;Chubut;-42,232925;-71,369507;Conectado
Esperanza;Güer Aike;Santa Cruz;-51,028218;-70,779725;Conectado
Esperanza.;Las Colonias;Santa Fe;-31,45059661;-60,93100681;Conectado
Esquel;Futaleufú;Chubut;-42,913324;-71,318512;Conectado
Esquina;Esquina;Corrientes;-30,01592842;-59,53098121;Conectado
Estacion Araoz;Leales;Tucuman;-27,05711525;-64,9218124;Conectado
Estacion Arroyo Cle;Tala;Entre Rios;-32,63389053;-59,40161089;Conectado
Estacion Atamisqui;Atamisqui;Santiago del Estero;-28,492678;-63,938497;Conectado
Estacion Camps;Diamante;Entre Rios;-32,11332074;-60,2299018;Conectado
Estacion Escriña;Gualeguaychú;Entre Rios;-32,593514;-58,906716;Conectado
Estacion Lazo;Gualeguay;Entre Rios;-32,87183976;-59,42234919;Conectado
Estacion Raices;Villaguay;Entre Rios;-31,90824819;-59,26069265;Conectado
Estacion Saguier;Castellanos;Santa Fe;-31,32451389;-61,6682;Conectado
Estacion Sosa;Paraná;Entre Rios;-31,73857427;-59,91150814;Conectado
Estacion Taboada;San Martin;Santiago del Estero;-28,00752778;-63,74744444;Conectado
Estacion Tacañitas;General Taboada;Santiago del Estero;-28,61385416;-62,52383619;Conectado
Estancia San Pedro;Uruguay;Entre Rios;-32,26694444;-58,62944444;Conectado
Eugenio Bustos;San Carlos;Mendoza;-33,78502245;-69,07290453;Conectado
Famailla;Famaillá;Tucuman;-27,04504563;-65,39563599;Conectado
Famatanca;Santa María;Catamarca;-26,81012;-66,059522;Conectado
Faustino M. Parera;Gualeguaychú;Entre Rios;-32,80443143;-58,8826334;Conectado
Federal;Federal;Entre Rios;-30,943125;-58,78145;Conectado
Fernandez;Robles;Santiago del Estero;-27,94540061;-63,82991702;Conectado
Fighiera;Rosario;Santa Fe;-33,19501878;-60,47060385;Conectado
Fontana;San Fernando;Chaco;-27,416713;-59,043938;Conectado
Fontezuela;Pergamino;Buenos Aires;-33,91383924;-60,46286509;Conectado
Formosa;Formosa;Formosa;-26,18282231;-58,17339305;Conectado
Fortin Inca;Belgrano;Santiago del Estero;-29,10405567;-61,84316261;Conectado
Fortin Tiburcio;Junin;Buenos Aires;-34,34673224;-61,13107817;Conectado
Fraile Pintado;Ledesma;Jujuy;-23,93667348;-64,80015555;Conectado
Francisco Madero;Pehuajo;Buenos Aires;-35,84830652;-62,06939184;Conectado
Franck;Las Colonias;Santa Fe;-31,58887362;-60,93889458;Conectado
Franklin;San Andrés de Giles;Buenos Aires;-34,61039087;-59,63017952;Conectado
Fray Luis Beltran;San Lorenzo;Santa Fe;-32,78555819;-60,72912364;Conectado
Freitas San Pedro;Federación;Entre Rios;-30,75718872;-58,08187138;Conectado
Frias;Choya;Santiago del Estero;-28,633587;-65,12801;Conectado
Frontera;Castellanos;Santa Fe;-31,43139908;-62,06349174;Conectado
Fuerte Quemado;Santa María;Catamarca;-26,630434;-66,064437;Conectado
Funes;Rosario;Santa Fe;-32,92278278;-60,81218028;Conectado
Gahan;Salto;Buenos Aires;-34,3380744;-60,09927362;Conectado
Gaona;Anta;Salta;-25,241162;-64,036538;Conectado
Garabato;Vera;Santa Fe;-28,95534474;-60,13843843;Conectado
General Almada;Gualeguaychú;Entre Rios;-32,83763348;-58,80381605;Conectado
General Alvear;General Alvear;Mendoza;-34,98046948;-67,70099508;Conectado
General Alvear.;Diamante;Entre Rios;-31,94945411;-60,67794973;Conectado
General Alvear..;General Alvear;Buenos Aires;-36,02293843;-60,01479357;Conectado
General Arenales;General Arenales;Buenos Aires;-34,30446797;-61,30562778;Conectado
General Ballivian;Gral.J. de San Martín;Salta;-22,92761052;-63,85229344;Conectado
General Belgrano;General Belgrano;Buenos Aires;-35,76945774;-58,49446151;Conectado
General Cabrera;Juárez Celman;Cordoba;-32,811891;-63,873697;Conectado
General Campos;San Salvador;Entre Rios;-31,52460783;-58,40477351;Conectado
General Conesa;Conesa;Rio Negro;-40,10473543;-64,45296195;Conectado
General Daniel Cerri;Bahia Blanca;Buenos Aires;-38,71365249;-62,39242217;Conectado
General Enrique Mosconi;Gral.J. de San Martín;Salta;-22,58729845;-63,80750987;Conectado
General Fotheringham;Tercero Arriba;Cordoba;-32,32342958;-63,87042574;Conectado
General Galarza;Gualeguay;Entre Rios;-32,72127131;-59,3958887;Conectado
General Juan Madariaga;General Madariaga;Buenos Aires;-36,996773;-57,13747691;Conectado
General La Madrid;General La Madrid;Buenos Aires;-37,25039925;-61,25957941;Conectado
General Lagos;Rosario;Santa Fe;-33,11215889;-60,56657378;Conectado
General Levalle;Presidente Roque Sáenz Peña;Cordoba;-34,009832;-63,922537;Conectado
General Paz;Colón;Cordoba;-31,13411891;-64,14100566;Conectado
General Racedo;Diamante;Entre Rios;-31,98401645;-60,40839123;Conectado
General Ramirez;Diamante;Entre Rios;-32,17727144;-60,19856058;Conectado
General Rivas;Suipacha;Buenos Aires;-34,61003707;-59,75042342;Conectado
General Rodriguez;General Rodriguez;Buenos Aires;-34,6079239;-58,95028204;Conectado
General Rojo;San Nicolas;Buenos Aires;-33,47586835;-60,28742706;Conectado
General Vedia;Bermejo;Chaco;-26,931365;-58,657921;Conectado
General Villegas;General Villegas;Buenos Aires;-35,03384199;-63,01466371;Conectado
Gilbert;Gualeguaychú;Entre Rios;-32,53060305;-58,9339533;Conectado
Gobernador Castro;San Pedro;Buenos Aires;-33,66057873;-59,86634083;Conectado
Gobernador Costa;Tehuelches;Chubut;-44,052983;-70,59792;Conectado
Gobernador Echague;Tala;Entre Rios;-32,39337013;-59,27588868;Conectado
Gobernador Febre;Nogoyá;Entre Rios;-32,4774516;-59,92171173;Conectado
Gobernador Gregores;Río Chico;Santa Cruz;-48,75212232;-70,24420359;Conectado
Gobernador Lopez;Leandro N. Alem;Misiones;-27,66152457;-55,21244556;Conectado
Gobernador Mansilla;Tala;Entre Rios;-32,54649136;-59,35614726;Conectado
Gobernador Sola;Tala;Entre Rios;-32,33720591;-59,37109062;Conectado
Golondrina;Vera;Santa Fe;-28,55887096;-60,02519193;Conectado
Gonzalez Moreno;Rivadavia;Buenos Aires;-35,55765293;-63,38158004;Conectado
Gorostiaga;Chivilcoy;Buenos Aires;-34,8391273;-59,8646672;Conectado
Gowland;Mercedes;Buenos Aires;-34,65242928;-59,35231863;Conectado
Goya;Goya;Corrientes;-29,14134393;-59,26053116;Conectado
Gramilla;Río Hondo;Santiago del Estero;-27,29651106;-64,58732288;Conectado
Gran China;Jáchal;San Juan;-30,12252732;-68,71619991;Conectado
Gran Guardia;Formosa;Formosa;-25,86284963;-58,8859915;Conectado
Granadero Baigorria;Rosario;Santa Fe;-32,86136417;-60,70621598;Conectado
Granadero Gatica;Moreno;Santiago del Estero;-26,872937;-62,716583;Conectado
Gualeguay;Gualeguay;Entre Rios;-33,14855562;-59,31501604;Conectado
Gualeguaychu;Gualeguaychú;Entre Rios;-33,01003283;-58,51642579;Conectado
Guamini;Guamini;Buenos Aires;-37,01208813;-62,41668573;Conectado
Guandacol;Coronel Felipe Varela;La Rioja;-29,50985932;-68,55220454;Conectado
Guardamonte;Tala;Entre Rios;-32,08263587;-59,30827722;Conectado
Guardia Escolta;Belgrano;Santiago del Estero;-28,989032;-62,122108;Conectado
Guerrero;Dr. Manuel Belgrano;Jujuy;-24,1861828;-65,44463125;Conectado
Guerrico;Pergamino;Buenos Aires;-33,67458496;-60,40068659;Conectado
Hasenkamp;Paraná;Entre Rios;-31,51330524;-59,83696962;Conectado
Hasse;Moreno;Santiago del Estero;-27,07174418;-62,64620129;Conectado
Henderson;Hipolito Yrigoyen;Buenos Aires;-36,29946304;-61,71784018;Conectado
Hernan Mejia Miraval;2 de Abril;Santiago del Estero;-27,17528813;-62,42572927;Conectado
Hernandez;Nogoyá;Entre Rios;-32,3380693;-60,03014048;Conectado
Hernando Ciudad;Tercero Arriba;Cordoba;-32,43374;-63,751244;Conectado
Hernando Silica;Tercero Arriba;Cordoba;-32,43374;-63,751244;Conectado
Herrera;Uruguay;Entre Rios;-32,43461398;-58,63301371;Conectado
Herrera Vegas;Hipólito Yrigoyen;Buenos Aires;-36,0883254;-61,41125008;Conectado
Hersilia;San Cristóbal;Santa Fe;-30,00567654;-61,83964677;Conectado
Hickman;Gral. J. de San Martín;Salta;-23,21748849;-63,56436247;Conectado
Hilario Ascasubi;Villarino;Buenos Aires;-39,37586026;-62,64779009;Conectado
Hipolito Yrigoyen (Iturbe);Humahuaca;Jujuy;-22,97826757;-65,35377949;Conectado
Huacalera;Tilcara;Jujuy;-23,43416426;-65,35133414;Conectado
Huaco;Jáchal;San Juan;-30,15706672;-68,48093658;Conectado
Hualfin;Belén;Catamarca;-27,225109;-66,825749;Conectado
Huancar;Susques;Jujuy;-23,60160532;-66,41331757;Conectado
Humahuaca;Humahuaca;Jujuy;-23,20261189;-65,35087437;Conectado
Humboldt;Las Colonias;Santa Fe;-31,40092106;-61,08255157;Conectado
Huyamampa;Banda;Santiago del Estero;-27,41181413;-64,2680299;Conectado
Ibarreta;Patiño;Formosa;-25,21131912;-59,85703984;Conectado
Iltico;Chicligasta;Tucuman;-27,33415;-65,643;Conectado
Ing. Guillermo N. Juarez;Matacos;Formosa;-23,89760041;-61,85382205;Conectado
Ingeniero Forres;Robles;Santiago del Estero;-27,89880453;-63,91532406;Conectado
Ingeniero Gustavo Andre;Lavalle;Mendoza;-32,7;-68,316667;Conectado
Ingeniero Jacobacci;25 de Mayo;Rio Negro;-41,32681342;-69,54412639;Conectado
Ingeniero Miguel Sajaroff;Villaguay;Entre Rios;-31,95693363;-58,84911746;Conectado
Ingeniero Thompson;Tres Lomas;Buenos Aires;-36,61025411;-62,91096121;Conectado
Intiyaco;Vera;Santa Fe;-28,67792537;-60,07246843;Conectado
Irala;Bragado;Buenos Aires;-34,77182303;-60,6916912;Conectado
Irazusta;Gualeguaychú;Entre Rios;-32,92693733;-58,95348348;Conectado
Iriarte;General Pinto;Buenos Aires;-34,41621373;-61,92801417;Conectado
Ituzaingo;Ituzaingó;Corrientes;-27,59104294;-56,70397394;Conectado
Jacipunco;Belén;Catamarca;-28,074296;-65,811463;Conectado
Jaime Prats;San Rafael;Mendoza;-34,91468312;-67,81914701;Conectado
Jesus Maria;Colón;Cordoba;-30,98119374;-64,09577129;Conectado
Joaquin V. Gonzalez;Anta;Salta;-25,12943247;-64,13858937;Conectado
Jocoli;Las Heras;Mendoza;-32,58431909;-68,68080881;Conectado
Jorge Born Ex Tomas Jofre;Mercedes;Buenos Aires;-34,699541;-59,318966;Conectado
Jose de San Martin;Tehuelches;Chubut;-44,054503;-70,469842;Conectado
Josefina;Castellanos;Santa Fe;-31,40796914;-61,99218472;Conectado
Juan A. de La Peña;Pergamino;Buenos Aires;-33,83227674;-60,48648954;Conectado
Juan A. Pradere;Patagones;Buenos Aires;-39,59938012;-62,65104708;Conectado
Juan Anchorena;Pergamino;Buenos Aires;-33,92633786;-60,38290348;Conectado
Juan Bautista Alberdi;Leandro N. Alem;Buenos Aires;-34,43879193;-61,81218938;Conectado
Juan Bautista Alberdi;Paclín;Tucuman;-27,5859774;-65,62084368;Conectado
Juan Jorba;General Pedernera;San Luis;-33,61328063;-65,2717503;Conectado
Juan Jose Paso;Pehuajo;Buenos Aires;-35,85247406;-62,29621238;Conectado
Juan Pujol;Monte Caseros;Corrientes;-30,41789645;-57,85606944;Conectado
Jubileo;Villaguay;Entre Rios;-31,73367333;-58,63403804;Conectado
Juella;Tilcara;Jujuy;-23,51829444;-65,40105;Conectado
Junin;Junin;Buenos Aires;-34,58383163;-60,94726517;Conectado
Junin de Los Andes;Huiliches;Neuquen;-39,94947201;-71,07033356;Conectado
Justo Daract;General Pedernera;San Luis;-33,85858345;-65,18704088;Conectado
Kilometro 115;Vera;Santa Fe;-28,82475109;-60,22560364;Conectado
Kilometro 658;Río Primero;Cordoba;-31,37018094;-63,53260255;Conectado
Koluel Kaike;Deseado;Santa Cruz;-46,71682675;-68,22796146;Conectado
La Adela;Caleu Caleu;La Pampa;-38,97396185;-64,08931669;Conectado
La Aurora;9 de Julio;Buenos Aires;-35,40794679;-61,21056682;Conectado
La Aurora;Banda;Santiago del Estero;-27,51900337;-64,18207336;Conectado
La Bajada;Paclin;Catamarca;-28,392052;-65,628265;Conectado
La Banda;Banda;Santiago del Estero;-27,75981048;-64,1861423;Conectado
La Buitrera;Picunches;Neuquen;-38,55747024;-70,36655603;Conectado
La Cañada;Figueroa;Santiago del Estero;-27,72765881;-63,7176686;Conectado
La Carolina;Rosario;Santa Fe;-33,076919;-60,698099;Conectado
La Cocha;La Cocha;Tucuman;-27,77300484;-65,58645684;Conectado
La Colina;General La Madrid;Buenos Aires;-37,36076902;-61,53484879;Conectado
La Criolla;Concordia;Entre Rios;-31,26937129;-58,10604254;Conectado
La Darsena;Banda;Santiago del Estero;-27,72755227;-64,24579847;Conectado
La Emilia;San Nicolas;Buenos Aires;-33,35148528;-60,31395735;Conectado
La Escondida;General Donovan;Chaco;-27,107325;-59,447533;Conectado
La Esperanza;San Pedro;Jujuy;-24,22221455;-64,83680705;Conectado
La Francia;San Justo;Cordoba;-31,40643792;-62,6343581;Conectado
La Gallareta;Vera;Santa Fe;-29,585489;-60,37993937;Conectado
La Gloria;Catriló;La Pampa;-36,50791772;-63,74440831;Conectado
La Intermedia;Yavi;Jujuy;-22,42248859;-65,70038508;Conectado
La Leonesa GNA;Bermejo;Chaco;-27,03796;-58,706938;Conectado
La Llave Nueva;San Rafael;Mendoza;-34,64492975;-68,01477047;Conectado
La Luisa;Capitán Sarmiento;Buenos Aires;-34,12855721;-59,92400583;Conectado
La Mendieta;San Pedro;Jujuy;-24,31435974;-64,97070847;Conectado
La Merced;Paclín;Catamarca;-28,153765;-65,669606;Conectado
La Paz;La Paz;Entre Rios;-30,7415411;-59,64335352;Conectado
La Picada;Paraná;Entre Rios;-31,72671008;-60,2971793;Conectado
La Plata;La Plata;Buenos Aires;-34,9208631;-57,95405601;Conectado
La Poma;La Poma;Salta;-24,71290105;-66,19973852;Conectado
La Quiaca;Yavi;Jujuy;-22,10003099;-65,59626249;Conectado
La Reduccion;Lules;Tucuman;-26,9601339;-65,35147275;Conectado
La Rica;Chivilcoy;Buenos Aires;-34,973919;-59,86393;Conectado
La Rioja EDT;Capital;La Rioja;-29,42178277;-66,85667538;Conectado
La Rubia;San Cristóbal;Santa Fe;-30,11139667;-61,79276085;Conectado
La Sabana;Tapenagá;Chaco;-27,873801;-59,93957;Conectado
La Torre - El Chiflon;Independencia;La Rioja;-30,20462301;-67,60233853;Conectado
La Viña;Paclín;Catamarca;-28,044446;-65,607938;Conectado
Laboulaye;Presidente Roque Sáenz Peña;Cordoba;-34,12361221;-63,38864631;Conectado
Lago Epuyen;Cushamen;Chubut;-42,213536;-71,429663;Conectado
Lago Puelo;Cushamen;Chubut;-42,067292;-71,598158;Conectado
Laguna Alsina;Guamini;Buenos Aires;-36,809052;-62,245148;Conectado
Laguna Blanca;Libertad;Chaco;-27,25722;-59,234049;Conectado
Laguna de Lobos;Lobos;Buenos Aires;-35,274762;-59,133906;Conectado
Laguna del Pescado;Victoria;Entre Rios;-32,69003377;-60,01183587;Conectado
Laguna Larga;Río Segundo;Cordoba;-31,77839872;-63,8027369;Conectado
Laguna Vitel;Chascomús;Buenos Aires;-35,54041693;-58,13491942;Conectado
Laguna Yema;Bermejo;Formosa;-24,25546472;-61,24399801;Conectado
Lapachito;General Donovan;Chaco;-27,15879;-59,390398;Conectado
Laplacette;Junin;Buenos Aires;-34,724524;-61,155317;Conectado
Laprida;Laprida;Buenos Aires;-37,546798;-60,797054;Conectado
Laprida;Choya;Santiago del Estero;-28,40735482;-64,45419278;Conectado
Larroque;Gualeguaychú;Entre Rios;-33,03542428;-59,00185366;Conectado
Las Armas;Maipu;Buenos Aires;-37,086054;-57,828575;Conectado
Las Bajadas;Calamuchita;Cordoba;-32,09540636;-64,33105355;Conectado
Las Catitas;Santa Rosa;Mendoza;-33,30010588;-68,05321824;Conectado
Las Chacritas;9 de Julio;San Juan;-31,59364179;-68,40771967;Conectado
Las Grutas;San Antonio;Rio Negro;-40,80609332;-65,08470198;Conectado
Las Guachas;Tala;Entre Rios;-32,467722;-59,173194;Conectado
Las Lajas;Picunches;Neuquen;-38,5292612;-70,36895029;Conectado
Las Lomitas;Patiño;Formosa;-24,71057761;-60,59378926;Conectado
Las Malvinas;San Rafael;Mendoza;-34,838415;-68,25393622;Conectado
Las Mojarras;Santa María;Catamarca;-26,6988605;-66,03873344;Conectado
Las Moscas;Uruguay;Entre Rios;-32,09266669;-58,95759236;Conectado
Las Palmas;Bermejo;Chaco;-27,047898;-58,679574;Conectado
Las Parejas;Belgrano;Santa Fe;-32,68268426;-61,51857983;Conectado
Las Perdices;Tercero Arriba;Cordoba;-32,698188;-63,70831;Conectado
Las Rosas;Belgrano;Santa Fe;-32,47857682;-61,57480368;Conectado
Las Talas - Los Medanos;Caucete;San Juan;-31,597295;-68,274026;Conectado
Las Toninas;La Costa;Buenos Aires;-36,488398;-56,700435;Conectado
Las Vertientes;Río Cuarto;Cordoba;-33,28394639;-64,57814623;Conectado
Las Violetas;Lavalle;Mendoza;-32,82081519;-68,61641408;Conectado
Lavalle;Lavalle;Corrientes;-29,02498125;-59,18185701;Conectado
Lazzarino;General Lopez;Santa Fe;-34,16632957;-62,42803803;Conectado
Leandro N Alem;Leandro N. Alem;Buenos Aires;-34,52172462;-61,3911829;Conectado
Leandro N. Alem;Leandro N. Alem;Misiones;-27,6018676;-55,32646592;Conectado
Lehmann;Castellanos;Santa Fe;-31,1272471;-61,45295691;Conectado
Leon;Dr. Manuel Belgrano;Jujuy;-24,03596327;-65,43155589;Conectado
Leones;Marcos Juárez;Cordoba;-32,65839141;-62,29991463;Conectado
Libaros;Uruguay;Entre Rios;-32,26294793;-58,90661081;Conectado
Libertador General San Martin;Ledesma;Jujuy;-23,79884753;-64,78474354;Conectado
Lima;Zárate;Buenos Aires;-34,043634;-59,197334;Conectado
Lincoln;Lincoln;Buenos Aires;-34,869042;-61,529165;Conectado
Liviara;Rinconada;Jujuy;-22,48969892;-66,26776378;Conectado
Lobos;Lobos;Buenos Aires;-35,185868;-59,095712;Conectado
Logroño;9 de Julio;Santa Fe;-29,50428128;-61,69673278;Conectado
Lomas del Rio Lujan;Campana;Buenos Aires;-34,281677;-58,891191;Conectado
Londres;Belén;Catamarca;-27,709144;-67,152129;Conectado
Lonquimay;Catriló;La Pampa;-36,46762634;-63,62372234;Conectado
Lopez;Benito Juarez;Buenos Aires;-37,554512;-59,627846;Conectado
Lopez Lecube;Puan;Buenos Aires;-38,117119;-62,725485;Conectado
Loro Huasi;Santa María;Catamarca;-26,73613837;-66,02178458;Conectado
Los Amores;Vera;Santa Fe;-28,10637217;-59,97866483;Conectado
Los Angeles;Chacabuco;Buenos Aires;-34,457506;-60,180185;Conectado
Los Blancos;Rivadavia;Salta;-23,63014781;-62,5972373;Conectado
Los Cardozos;Capital;Santiago del Estero;-27,94551944;-64,16464722;Conectado
Los Catutos;Zapala;Neuquen;-38,8384808;-70,19621068;Conectado
Los Charruas;Concordia;Entre Rios;-31,17078407;-58,1873843;Conectado
Los Condores;Calamuchita;Cordoba;-32,32112777;-64,28100803;Conectado
Los Conquistadores;Federación;Entre Rios;-30,59440746;-58,46826271;Conectado
Los Frentones;Almirante Brown;Chaco;-26,408298;-61,413427;Conectado
Los Helechos;Oberá;Misiones;-27,55318532;-55,07782277;Conectado
Los Menucos;25 de Mayo;Rio Negro;-40,84519114;-68,08320251;Conectado
Los Molinos;Capital;Santa Fe;-33,10549;-61,32650153;Conectado
Los Molinos.;Calamuchita;Cordoba;-31,85682232;-64,37795216;Conectado
Los Nacimientos;Belén;Catamarca;-27,127631;-66,712534;Conectado
Los Nuñez cambia por Concepcion;Río Hondo;Santiago del Estero;;;Conectado
Los Pinos;Balcarce;Buenos Aires;-37,941206;-58,322592;Conectado
Los Pirpintos;Copo;Santiago del Estero;-26,11432813;-62,04433441;Conectado
Los Pozos;Ischilín;Cordoba;-30,51545167;-64,26644499;Conectado
Los Pumas;Vera;Santa Fe;-29,26408333;-61,01638889;Conectado
Los Quiroga;Banda;Santiago del Estero;-27,67762583;-64,29781365;Conectado
Los Ralos;Cruz Alta;Tucuman;-26,87709985;-64,97489875;Conectado
Los Soria;Banda;Santiago del Estero;-27,62194444;-64,37111111;Conectado
Los Tigres;Copo;Santiago del Estero;-25,90949655;-62,59205542;Conectado
Los Toldos;General Viamonte;Buenos Aires;-35,001037;-61,03815;Conectado
Los Zazos;Tafí del Valle;Tucuman;-26,618804;-65,88555092;Conectado
Loventue;Loventué;La Pampa;-36,183333;-65,25;Conectado
Lozada;Santa María;Cordoba;-31,64845453;-64,08997961;Conectado
Lozano;Dr. Manuel Belgrano;Jujuy;-24,07735974;-65,40470048;Conectado
Luan Toro;Loventué;La Pampa;-36,20168188;-65,09727824;Conectado
Lucas Gonzalez;Nogoyá;Entre Rios;-32,38592895;-59,53130046;Conectado
Lucas Monteverde;25 de Mayo;Buenos Aires;-35,483827;-59,988065;Conectado
Lucio V Mansilla;Tulumba;Cordoba;-29,806372;-64,706541;Conectado
Lujan;Luján;Buenos Aires;-34,570655;-59,10954;Conectado
Macia;Tala;Entre Rios;-32,17244139;-59,39867871;Conectado
Maciel;San Jerónimo;Santa Fe;-32,45876526;-60,89311265;Conectado
Magdala;Pehuajo;Buenos Aires;-36,084671;-61,725475;Conectado
Maimara;Tilcara;Jujuy;-23,62081301;-65,40786004;Conectado
Makalle;General Donovan;Chaco;-27,211619;-59,288366;Conectado
Malargüe;Malargüe;Mendoza;-35,47701071;-69,58864919;Conectado
Malena;Río Cuarto;Cordoba;-33,48934109;-64,43200081;Conectado
Manfredi;Río Segundo;Cordoba;-31,84405856;-63,74607461;Conectado
Manuel Ocampo;Pergamino;Buenos Aires;-33,764723;-60,649243;Conectado
Maquinchao;25 de Mayo;Rio Negro;-41,24751656;-68,70034107;Conectado
Mar Azul;Villa Gesell;Buenos Aires;-37,336673;-57,032501;Conectado
Mar Chiquita;Mar Chiquita;Buenos Aires;-37,746258;-57,427448;Conectado
Mar de Cobo;Mar Chiquita;Buenos Aires;-37,7768;-57,455659;Conectado
Mar del Plata;General Pueyrredón;Buenos Aires;-38,01209148;-57,60649472;Conectado
Marayes;Caucete;San Juan;-31,47766956;-67,30936519;Conectado
Marcelino Ugarte;9 de Julio;Buenos Aires;-35,346266;-60,745345;Conectado
Marcos Juarez;Marcos Juárez;Cordoba;-32,69131;-62,105795;Conectado
Marcos Paz Silica;Marcos Paz;Buenos Aires;-34,796544;-58,877821;Conectado
Margarita;Vera;Santa Fe;-29,69108796;-60,25246527;Conectado
Maria Grande;Paraná;Entre Rios;-31,6660715;-59,90443793;Conectado
Mariano Benitez;Pergamino;Buenos Aires;-33,709027;-60,58426;Conectado
Mariano H. Alfonso;Pergamino;Buenos Aires;-33,914854;-60,834055;Conectado
Mariano Moreno;Zapala;Neuquen;-38,76425913;-70,03866698;Conectado
Matara;Juan F. Ibarra;Santiago del Estero;-28,11242298;-63,12760577;Conectado
Mayor Buratovich;Villarino;Buenos Aires;-39,259095;-62,615789;Conectado
Mendoza;Capital;Mendoza;-32,88971667;-68,84453056;Conectado
Mercedes;Mercedes;Buenos Aires;;;Conectado
Milagro;General Ocampo;La Rioja;-31,01317175;-65,98825545;Conectado
Ministerio de Modernizacion;CABA;CABA;-34,59972222;-58,38194444;Conectado
Ministro Ramos Mexia;9 de Julio;Rio Negro;-40,50854001;-67,26192071;Conectado
Miraflores.;San Pedro;Jujuy;-24,22388889;-64,82111111;Conectado
Misarrumi;Rinconada;Jujuy;-22,21434434;-66,33656162;Conectado
Mision Chaqueña;Gral.J. de San Martín;Salta;-23,27614124;-63,73618002;Conectado
Mision Km 6;Gral.J. de San Martín;Salta;-22,50602283;-63,73997219;Conectado
Mocoreta;Monte Caseros;Corrientes;-30,6176804;-57,96282546;Conectado
Moises Ville;San Cristóbal;Santa Fe;-30,71820087;-61,46914009;Conectado
Molinos;Molinos;Salta;-25,44424329;-66,30885009;Conectado
Monigotes;San Cristóbal;Santa Fe;-30,49013599;-61,63482247;Conectado
Monje;San Jerónimo;Santa Fe;-32,35873566;-60,9429043;Conectado
Monte Coman;San Rafael;Mendoza;-34,59718099;-67,88428991;Conectado
Monte de Los Gauchos;Río Cuarto;Cordoba;-33,63688796;-63,89000688;Conectado
Monte Flores (Barrio Don Manuel);Rosario;Santa Fe;;;Conectado
Monte Quemado;Copo;Santiago del Estero;-25,80423794;-62,83162659;Conectado
Monte Ralo;Santa María;Cordoba;-31,911575;-64,239992;Conectado
Montefiore;9 de Julio;Santa Fe;-29,66786982;-61,86710829;Conectado
Monteros;Monteros;Tucuman;-27,16747666;-65,49877745;Conectado
Morrison;Unión;Cordoba;-32,59364231;-62,83600846;Conectado
Morse;Junin;Buenos Aires;-34,76089;-60,841912;Conectado
Nahuel Niyeu;Valcheta;Rio Negro;-40,50419832;-66,565753;Conectado
Napaleufu;Balcarce;Buenos Aires;-37,625498;-58,746186;Conectado
Napalpi;25 de Mayo;Chaco;-26,903262;-60,117384;Conectado
Navarro;Navarro;Buenos Aires;-35,003607;-59,277416;Conectado
Neuquen;Confluencia;Neuquen;-38,94928568;-68,08390576;Conectado
Niquivil;Jáchal;San Juan;-30,40067501;-68,6910631;Conectado
Nogoya;Nogoyá;Entre Rios;-32,39564164;-59,78807642;Conectado
Nonogasta;Chilecito;La Rioja;-29,30409594;-67,50727846;Conectado
Nuestra Señora de Talavera;Anta;Salta;-25,48107256;-63,78800083;Conectado
Nueva Esperanza;Pellegrini;Santiago del Estero;-26,22817084;-64,21653505;Conectado
Nueva Francia;Silípica;Santiago del Estero;-28,18342222;-64,19946667;Conectado
Nueva Plata;Pehuajo;Buenos Aires;-35,919912;-61,8134;Conectado
Nueva Vizcaya;Federal;Entre Rios;-30,96851498;-58,61274793;Conectado
Nuevo Pirquitas;Rinconada;Jujuy;-22,68699365;-66,45640168;Conectado
Nuevo Torino;Las Colonias;Santa Fe;-31,34688238;-61,23572573;Conectado
Obera;Oberá;Misiones;-27,48165594;-55,12515469;Conectado
OHiggins;Chacabuco;Buenos Aires;-34,585471;-60,698633;Conectado
Olavarria;Olavarria;Buenos Aires;-36,892094;-60,318005;Conectado
Olegario V. Andrade;Leandro N. Alem;Misiones;-27,56582204;-55,50172543;Conectado
Oliva;Tercero Arriba;Cordoba;-32,041317;-63,569382;Conectado
Olivera;Luján;Buenos Aires;-34,626504;-59,253381;Conectado
Oliveros;Iriondo;Santa Fe;-32,57582152;-60,85535153;Conectado
Oncativo;Río Segundo;Cordoba;-31,912836;-63,683682;Conectado
Open Door;Luján;Buenos Aires;-34,48901624;-59,06173613;Conectado
Oratorio;Santa Catalina;Jujuy;-22,06568788;-66,0785088;Conectado
