Localidad;Departamento;Provincia;Latitud;Longitud;Estado
Arroyo Dulce;Salto;Buenos Aires;-34,10243328;-60,40615518;Conectado
Arroyo Seco;Rosario;Santa Fe;-33,15602258;-60,51013081;Conectado
Arrufo;San Cristóbal;Santa Fe;-30,23414953;-61,7285807;Conectado
Ataliva;Castellanos;Santa Fe;-30,99811878;-61,43251869;Conectado
Ataliva Roca;Utracan;La Pampa;-37,03233157;-64,28657244;Conectado
Avellaneda..;Ischilín;Cordoba;-30,594676;-64,207839;Conectado
Averias;General Taboada;Santiago del Estero;-28,74122051;-62,38219806;Conectado
Avia Terai;Independencia;Chaco;-26,690427;-60,730949;Conectado
Ayacucho;Ayacucho;Buenos Aires;-37,15366957;-58,48954767;Conectado
Azcuenaga;San Andrés de Giles;Buenos Aires;-34,36379109;-59,37459911;Conectado
Azucena;San Andrés de Giles;Buenos Aires;-37,486209;-59,291133;Conectado
Azul;Azul;Buenos Aires;-36,7795145;-59,85863317;Conectado
Bahia Blanca;Bahía Blanca;Buenos Aires;-38,71140373;-62,25690895;Conectado
Baigorrita;General Viamonte;Buenos Aires;-34,74726868;-60,98895266;Conectado
Bajada del Agrio;Picunches;Neuquen;-38,40797986;-70,0276786;Conectado
Bajo Caracoles II;Río Chico;Santa Cruz;-47,446149;-70,92851556;Conectado
Bajo Carrizal;Famatina;La Rioja;-28,89110077;-67,56674616;Conectado
Balcarce;Balcarce;Buenos Aires;-37,84827793;-58,25516658;Conectado
Ballesteros;Unión;Cordoba;-32,54538159;-62,98330052;Conectado
Bananal;Ledesma;Jujuy;-23,56577112;-64,50137243;Conectado
Bandera;Belgrano;Santiago del Estero;-28,87351295;-62,16982624;Conectado
Bandera Bajada;Figueroa;Santiago del Estero;-27,28467571;-63,46424313;Conectado
Banderalo;General Villegas;Buenos Aires;-35,01246666;-63,37415635;Conectado
Baradero;Baradero;Buenos Aires;-33,81287815;-59,50430689;Conectado
Barcena;Tumbaya;Jujuy;-23,96947419;-65,44647765;Conectado
Barda del Medio;General Roca;Rio Negro;-38,72466334;-68,15805609;Conectado
Bardas Blancas;Malargüe;Mendoza;-35,868674;-69,805104;Conectado
Barrancas;San Jerónimo;Santa Fe;-32,23663578;-60,98274013;Conectado
Barrancas (ex Las Juntas);Belén;Catamarca;;;Conectado
Barrancas.;Pehuenches;Neuquen;-36,8247373;-69,91647829;Conectado
Barrio Alto del Olvido;Lavalle;Mendoza;-32,67277942;-68,59224738;Conectado
Barrio Casa Rosada;Famaillá;Tucuman;-27,04305939;-65,42914356;Conectado
Barrio Colinas Verdes;General Pueyrredón;Buenos Aires;-37,89310248;-57,82616456;Conectado
Barrio Colonia Conesa;Conesa;Rio Negro;-40,14057151;-64,32974279;Conectado
Barrio El Coyunco;General Pueyrredón;Buenos Aires;-37,90508101;-57,73918241;Conectado
Barrio El Pilar;Bariloche;Rio Negro;-41,1814203;-71,34934377;Conectado
Barrio El Portal cambia por Ing. Fronteritas;Famaillá;Tucuman;;;Conectado
Barrio El Taladro;Cañuelas;Buenos Aires;-35,07424862;-58,86324206;Conectado
Barrio Jocoli II;Lavalle;Mendoza;-32,646549;-68,660799;Conectado
Barrio Justo P. Castro Iv;Caucete;San Juan;-31,62830256;-68,30082728;Conectado
Barrio La Gloria;General Pueyrredón;Buenos Aires;-37,90682683;-57,78588606;Conectado
Barrio La Palmera;Lavalle;Mendoza;-32,69693283;-68,55062132;Conectado
Barrio La Pega;Lavalle;Mendoza;-32,812859;-68,68353732;Conectado
Barrio La Union;El Carmen;Jujuy;-24,40354207;-65,06859011;Conectado
